,sarimax,prophet,general forecast
2023-09-11,17474.97990446775,0.0,11037.548
2023-09-12,12715.427900783772,0.0,8031.539
2023-09-13,18842.898303917696,0.0,11901.49
2023-09-14,16582.55470015664,0.0,10473.916
2023-09-15,19604.99568286385,0.0,12382.812
2023-09-16,43066.66638574721,0.0,27200.59
2023-09-17,44116.18131678434,58069.69236370018,13320.402
2023-09-18,17973.193738279202,37354.53843085735,8205.134
2023-09-19,12843.446049200433,0.0,8112.393
2023-09-20,18692.07629169885,0.0,11806.234
2023-09-21,16751.78786905556,0.0,10580.799
2023-09-22,19595.383815409645,0.0,12376.741
2023-09-23,42086.20626337954,0.0,26581.355
2023-09-24,43856.3249741284,0.0,27699.314
2023-09-25,18461.276472287245,0.0,11660.468
2023-09-26,12979.51114880349,0.0,8198.328
2023-09-27,18550.080903033064,0.0,11716.555
2023-09-28,16910.573554850696,0.0,10681.084
2023-09-29,19591.385209234693,0.0,12374.215
2023-09-30,41155.301919949285,0.0,25993.422
2023-10-01,43580.38486826626,0.0,27525.041
2023-10-02,18938.5642635489,0.0,11961.91
2023-10-03,13123.079489090595,0.0,8289.002
2023-10-04,18416.784917751527,0.0,11632.368
2023-10-05,17059.30248912391,0.0,10775.018
2023-10-06,19592.361226242767,0.0,12374.831
2023-10-07,40271.292000358466,0.0,25435.104
2023-10-08,43290.13730705471,0.0,27341.727
2023-10-09,19404.484565403895,0.0,12256.174
2023-10-10,13273.655398675255,0.0,8384.102
2023-10-11,18292.09388447209,0.0,11553.617
2023-10-12,17198.396005753682,0.0,10862.864
2023-10-13,19597.763453535834,0.0,12378.244
2023-10-14,39431.68396711763,0.0,24904.83
2023-10-15,42987.26166615108,0.0,27150.44
2023-10-16,19858.534918091205,23724.758888213288,5445.2837
2023-10-17,13430.755929147543,0.0,8483.322
2023-10-18,18175.8857612101,0.0,11480.223
2023-10-19,17328.272765107537,0.0,10944.893
2023-10-20,19607.071474542383,0.0,12384.121
2023-10-21,38634.09405304155,0.0,24401.092
2023-10-22,42673.33633932145,28777.316249451145,18272.576
2023-10-23,20300.264172325886,12089.043892202817,9177.685
2023-10-24,13593.917856349928,0.0,8586.371
2023-10-25,18068.036248619494,0.0,11412.108
2023-10-26,17449.365594711522,0.0,11021.37
2023-10-27,19619.81457137089,0.0,12392.17
2023-10-28,37876.29171585477,0.0,23922.484
2023-10-29,42349.84934295039,0.0,26747.863
2023-10-30,20729.287391904338,0.0,13092.885
2023-10-31,13762.690001582208,0.0,8692.963
2023-11-01,17968.40059294752,0.0,11349.181
2023-11-02,17562.10321426083,0.0,11092.573
2023-11-03,19635.554400761346,0.0,12402.11
2023-11-04,37156.157083794766,0.0,23467.666
